Decyzja Klasyfikacyjna;Artykuł Skazania;Korzyść majątkowa;środki odurzające;wiek obecnie;wiek w czasie popełnienia czynu;długośćwykonywanej kary;pozostały okres kary;stan cywilny;dzieci;miejsce przebywania rodziny;wykształcenie;liczba telefonów;telefony po zmianach;korespondencja;widzenia;przepustki losowe;przepustki w formie nagrody;przepustki regulaminowe;inne formy kontaktu;szczepienie;miejsce szczepienia;kompensacja widzeń ;kompensacja długością telefonów;kontakt z obrońcą;częstsza korespondencja;poczucie bezpieczeństwa;działania administracji;;Zakład
;;A;C;E;D;D;B;A;E;D;H;A;B;D;D;A;A;A;D;B;;B;A;B;D;E;D;;1
P2;286;C;C;D;D;D;C;E;A;D;H;A;B;D;B;A;A;A;D;A;A;B;B;B;D;B;C;;1
P2;148;C;A;C;B;E;C;F;A;C;G;B;B;D;C;A;A;A;D;B;;A;A;B;D;D;B;;1
P2;148;C;A;C;B;E;D;E;B;D;D;A;B;C;D;A;A;A;PRACA NA TERENIE ZK;A;A;B;B;B;D;D;D;;1
P2;148;B;B;A;A;E;E;F;A;D;C;A;B;C;C;A;A;A;PRACA NA TERENIE ZK;A;A;A;A;B;D;C;C;;1
P2;148;C;C;E;E;E;D;B;C;D;F;B;B;C;A;A;A;A;D;A;A;B;A;B;C;D;C;;1
;148;C;C;E;E;E;D;D;D;D;H;A;B;D;C;A;A;A;D;A;A;B;;A;D;B;B;;1
P2;148;C;C;C;A;E;E;A;B;D;D;A;B;C;E;A;A;A;D;A;A;B;B;B;B;B;D;;1
;;A;C;D;C;E;E;F;C;D;D;B;C;C;C;A;A;A;D;A;A;B;B;B;D;E;E;;1
P2P;59 NARKOMANII;B;C;C;A;D;A;F;B;D;C;A;A;B;E;B;A;A;D;A;A;A;B;B;A;B;B;;1
;286;A;C;C;B;D;D;E;D;A;G;A;C;B;C;A;A;A;D;B;;B;B;A;A;C;C;;1
P2P;;C;B;C;C;D;C;B;D;C;C;A;B;A;D;A;A;A;D;A;B;B;B;B;A;D;C;;1
;141;C;C;C;C;D;D;B;C;A;F;A;A;C;D;A;A;A;D;A;B;A;B;B;D;D;A;;1
P2;279/280;C;B;B;A;D;D;F;A;C;C;A;B;B;E;A;A;A;B;B;;B;B;B;D;D;E;;1
P2;;C;C;E;E;AA;D;A;C;B;C;B;C;A;A;A;A;D;B;;B;B;B;D;F;B;B;;1
P2P;286;B;C;D;B;D;C;B;C;D;H;A;B;D;D;A;A;A;B;A;A;A;A;B;D;E;D;;1
P2;178A;C;B;B;B;A;A;E;A;D;G;B;B;C;D;A;A;A;D;A;B;B;B;B;D;E;D;;1
;148;C;B;D;C;E;E;B;C;C;F;A;B;C;E;A;A;A;D;A;A;B;B;A;C;E;E;;1
P2W;;C;B;B;B;A;A;E;C;C;C;B;B;C;A;A;A;A;D;B;;B;B;B;E;E;C;;1
;;A;C;C;B;A;A;E;E;C;C;C;C;D;E;A;A;A;D;B;;B;B;A;D;E;E;;1
P2;148;C;C;C;C;D;C;F;A;B;G;C;B;C;A;A;A;A;D;B;;A;B;B;D;B;C;;1
P2P;148;C;C;D;B;E;D;E;A;A;H;A;B;B;E;A;A;A;E;A;A;A;B;B;D;C;C;;1
P2P;148;C;C;C;A;E;E;F;A;D;G;A;C;B;E;A;A;A;D;A;A;B;B;A;C;B;D;;1
P2P;148;C;C;D;A;E;D;F;A;D;D;C;C;C;C;A;A;A;D;A;A;B;B;A;A;A;A;;1
